"Name","Start","End","Duration","Process"
"2000000 miliseconds in minutes - Google Search - Google Chrome","27/10/2015 10:54:26","27/10/2015 10:54:31","0:00:05","Google Chrome"
"UVA Library Geoportal - Google Chrome","27/10/2015 10:54:31","27/10/2015 10:54:48","0:00:17","Google Chrome"
"UVA Library Geoportal - Google Chrome","27/10/2015 10:54:48","27/10/2015 10:54:53","0:00:05","Google Chrome"
"New Tab - Google Chrome","27/10/2015 10:54:53","27/10/2015 10:55:00","0:00:07","Google Chrome"
"New Tab - Google Chrome","27/10/2015 10:55:00","27/10/2015 10:55:05","0:00:05","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 10:55:05","27/10/2015 10:55:16","0:00:11","Google Chrome"
"Loggly | Main Dashboard - Google Chrome","27/10/2015 10:55:16","27/10/2015 10:55:42","0:00:26","Google Chrome"
"New Tab - Google Chrome","27/10/2015 10:55:42","27/10/2015 10:55:50","0:00:08","Google Chrome"
"q[-_-]p - FAC | Trello - Google Chrome","27/10/2015 10:55:50","27/10/2015 10:57:21","0:01:31","Google Chrome"
"Apache Tomcat/7.0.65 - Google Chrome","27/10/2015 10:57:21","27/10/2015 10:57:27","0:00:06","Google Chrome"
"/manager - Google Chrome","27/10/2015 10:57:27","27/10/2015 10:57:35","0:00:08","Google Chrome"
"My GeoNetwork catalogue - My organization - Google Chrome","27/10/2015 10:57:35","27/10/2015 10:57:43","0:00:08","Google Chrome"
"Libraries","27/10/2015 10:57:43","27/10/2015 10:57:48","0:00:05","Windows Explorer"
"Loggly | Main Dashboard - Google Chrome","27/10/2015 10:57:48","27/10/2015 10:58:33","0:00:45","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 10:58:33","27/10/2015 10:58:38","0:00:05","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 10:58:38","27/10/2015 10:59:39","0:01:01","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 10:59:39","27/10/2015 11:00:39","0:01:00","Google Chrome"
"New Tab - Google Chrome","27/10/2015 11:00:39","27/10/2015 11:00:45","0:00:06","Google Chrome"
"6831682 millis in seconds - Google Search - Google Chrome","27/10/2015 11:00:45","27/10/2015 11:00:50","0:00:05","Google Chrome"
"Milliseconds to Seconds Conversion Calculator - Google Chrome","27/10/2015 11:00:50","27/10/2015 11:00:59","0:00:09","Google Chrome"
"6831 seconds in minutes - Google Search - Google Chrome","27/10/2015 11:00:59","27/10/2015 11:01:13","0:00:14","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 11:01:13","27/10/2015 11:01:47","0:00:34","Google Chrome"
"ZyWALL USG 20 - Google Chrome","27/10/2015 11:01:47","27/10/2015 11:02:12","0:00:25","Google Chrome"
"whois ip 89.101.200.202 - Google Search - Google Chrome","27/10/2015 11:02:12","27/10/2015 11:02:18","0:00:06","Google Chrome"
"whois ip 89.101.200.202 - Google Search - Google Chrome","27/10/2015 11:02:18","27/10/2015 11:02:26","0:00:08","Google Chrome"
"89.101.200.0 - 89.101.200.255 - Upc Communications Ireland Limited Ireland - Google Chrome","27/10/2015 11:02:26","27/10/2015 11:02:40","0:00:14","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 11:02:40","27/10/2015 11:03:40","0:01:00","Google Chrome"
"Loggly | Search! - Google Chrome","27/10/2015 11:03:40","27/10/2015 11:05:41","0:02:01","Google Chrome"
"Updated Phone list Template.xlsx - Message (HTML) ","27/10/2015 11:05:41","27/10/2015 11:05:51","0:00:10","Microsoft Office Outlook"
"Loggly | Search! - Google Chrome","27/10/2015 11:05:51","27/10/2015 11:06:15","0:00:24","Google Chrome"
"Loggly | Main Dashboard - Google Chrome","27/10/2015 11:06:15","27/10/2015 11:06:29","0:00:14","Google Chrome"
"UVA Library Geoportal - Google Chrome","27/10/2015 11:06:29","27/10/2015 11:06:35","0:00:06","Google Chrome"
"whois ip 89.101.200.202 - Google Search - Google Chrome","27/10/2015 11:06:35","27/10/2015 11:07:01","0:00:26","Google Chrome"
"GeoServer: Welcome - Google Chrome","27/10/2015 11:07:01","27/10/2015 11:09:54","0:02:53","Google Chrome"
"Google - Google Chrome","27/10/2015 11:09:54","27/10/2015 11:09:59","0:00:05","Google Chrome"
"GeoServer: Welcome - Google Chrome","27/10/2015 11:09:59","27/10/2015 11:10:23","0:00:24","Google Chrome"
"My GeoNetwork catalogue - My organization - Google Chrome","27/10/2015 11:10:23","27/10/2015 11:10:28","0:00:05","Google Chrome"
"My GeoNetwork catalogue - My organization - Google Chrome","27/10/2015 11:10:28","27/10/2015 11:11:15","0:00:47","Google Chrome"
"geonetwork default password - Google Search - Google Chrome","27/10/2015 11:11:15","27/10/2015 11:11:23","0:00:08","Google Chrome"
"My GeoNetwork catalogue - My organization - Google Chrome","27/10/2015 11:11:23","27/10/2015 11:11:30","0:00:07","Google Chrome"
"GeoServer: Welcome - Google Chrome","27/10/2015 11:11:30","27/10/2015 11:11:59","0:00:29","Google Chrome"
"Inbox - Microsoft Outlook","27/10/2015 11:11:59","27/10/2015 11:12:15","0:00:16","Microsoft Office Outlook"
"GeoServer: Welcome - Google Chrome","27/10/2015 11:12:15","27/10/2015 11:16:13","0:03:58","Google Chrome"
"data (\\dc) (Z:)","27/10/2015 11:16:13","27/10/2015 11:16:19","0:00:06","Windows Explorer"
"FAC-GeneralInformation","27/10/2015 11:16:19","27/10/2015 11:16:32","0:00:13","Windows Explorer"
"FAC-ProjectManagement","27/10/2015 11:16:32","27/10/2015 11:16:49","0:00:17","Windows Explorer"
"FAC-GeneralInformation","27/10/2015 11:16:49","27/10/2015 11:17:05","0:00:16","Windows Explorer"
"data (\\dc) (Z:)","27/10/2015 11:17:05","27/10/2015 11:17:14","0:00:09","Windows Explorer"
"Spatial Data Library","27/10/2015 11:17:14","27/10/2015 11:17:20","0:00:06","Windows Explorer"
"GeoServer Beginner’s Guide [eBook].pdf - Firefox Developer Edition","27/10/2015 11:17:20","27/10/2015 11:18:29","0:01:09","FirefoxDeveloperEdition"
"GeoServer: Welcome - Google Chrome","27/10/2015 11:18:29","27/10/2015 11:18:37","0:00:08","Google Chrome"
"GeoServer Beginner’s Guide [eBook].pdf - Firefox Developer Edition","27/10/2015 11:18:37","27/10/2015 11:18:56","0:00:19","FirefoxDeveloperEdition"
"Tech Resources: The latest and greatest from The Register - Message (HTML) ","27/10/2015 11:18:56","27/10/2015 11:19:25","0:00:29","Microsoft Office Outlook"
"Download Making the journey to HTTP/2 • Reg Whitepapers - Firefox Developer Edition","27/10/2015 11:19:25","27/10/2015 11:19:34","0:00:09","FirefoxDeveloperEdition"
